ItemID_DE,EAN
187,4283230068828
6297,4283230069023
6252,4283230069122
844,4283230069221
6319,4283230069320
3628,4283230069429
6906,4283230069528
3627,4283230069726
3740,4283230069825
480,4283230070029
697,4283230070128
6907,4283230070326
7611,4283230070425
618,4283230070623
470,4283230070722
6293,4283230070920
7044,4283230071026
1857,4283230071125
677,4283230071323
6254,4283230071422
6034,4283230071521
6908,4283230071620
680,4283230071729
7246,4283230071828
6537,4283230072023
7247,4283230072122
1855,4283230072221
1852,4283230072320
1854,4283230072429
679,4283230072528
5199,4283230072627
7035,4283230072726
6930,4283230072825
4255,4283230073020
1853,4283230073228
4067,4283230073327
3747,4283230073426
2538,4283230073624
488,4283230073723
4561,4283230073822
3746,4283230073921
489,4283230074027
6650,4283230074126
7010,4283230074225
4563,4283230074324
2537,4283230074522
5019,4283230074621
359,4283230074720
4564,4283230074829
7024,4283230074928
6649,4283230075024
360,4283230075123
7050,4283230075222
2536,4283230075321
6657,4283230075529
4054,4283230075628
2535,4283230075826
4056,4283230075925
2198,4283230076021
4068,4283230076120
4535,4283230076229
198,4283230076328
357,4283230076427
4253,4283230076526
3745,4283230076625
762,4283230076724
4252,4283230076823
750,4283230076922
196,4283230077127
4251,4283230077226
356,4283230077325
2197,4283230077424
6652,4283230077523
754,4283230077622
2190,4283230077721
361,4283230077820
5202,4283230077929
5201,4283230078223
5908,4283230078421
5907,4283230078926
4814,4283230079121
7049,4283230079220
5200,4283230079329
5212,4283230079527
5905,4283230079725
4250,4283230079923
5211,4283230080127
4781,4283230080424
4066,4283230080523
4884,4283230080622
5007,4283230080721
6309,4283230080820
5213,4283230080929
4885,4283230081025
5210,4283230081124
5198,4283230081223
3748,4283230081322
5906,4283230081629
4883,4283230081728
5209,4283230081926
5904,4283230082022
6655,4283230082121
4882,4283230082220
5214,4283230082329
5203,4283230082428
4565,4283230082527
6653,4283230082725
6654,4283230082824
4562,4283230082923
6656,4283230083029
5050,4283230083128
4055,4283230083227
2633,4283230083326
5049,4283230083425
4784,4283230083524
4119,4283230083623
4843,4283230083722
3153,4283230083821
5386,4283230083920
4423,4283230084026
5059,4283230084125
6378,4283230084224
3855,4283230084422
6379,4283230084521
3148,4283230084620
5052,4283230084729
4598,4283230084927
4422,4283230085023
5055,4283230085122
4717,4283230085221
5519,4283230085320
6400,4283230085429
2570,4283230085528
3636,4283230085627
5392,4283230085825
3755,4283230085924
4863,4283230086020
5001,4283230086129
4848,4283230086228
5014,4283230086327
4760,4283230086426
5085,4283230086525
4935,4283230086624
5053,4283230086723
2641,4283230086822
3162,4283230086921
3015,4283230087027
