399,Y,7,3,9
400,Y,35,3,35
401,Y,15,3,18
402,Y,81,3,119
403,Y,6,3,9
404,Y,0,3,0
405,Y,0,3,0
406,Y,0,3,0
407,Y,0,3,0
410,N,0,1,1
411,N,0,1,0
415,Y,6,3,20
416,Y,9,3,67
418,Y,95,6,112
419,Y,85,1,84
420,Y,11,1,13
451,Y,0,5,7
452,Y,0,3,40
454,Y,0,5,63
455,Y,0,3,199
456,Y,0,6,6
458,N,0,3,0
459,N,0,3,0
463,N,0,3,0
464,N,0,3,0
465,N,0,3,0
466,N,0,1,0
470,Y,1504,1,1354
473,Y,0,1,0
474,Y,0,1,0
480,Y,356,1,626
488,Y,59,1,100
489,Y,31,1,276
491,Y,0,3,10
492,Y,0,3,42
493,Y,0,3,7
494,Y,0,3,55
495,N,0,3,0
496,N,0,3,0
497,N,0,3,0
498,N,0,3,0
499,Y,0,3,27
618,N,0,1,0
620,Y,44,3,73
621,Y,60,3,114
622,Y,33,3,46
623,Y,20,3,47
624,Y,27,3,72
625,Y,41,3,60
626,Y,47,3,70
627,Y,35,3,37
628,Y,4,3,44
629,Y,0,6,38
631,Y,0,6,42
649,Y,40,5,43
650,Y,16,5,18
651,Y,31,5,47
652,Y,11,5,35
653,Y,34,5,50
654,Y,12,5,19
655,Y,0,5,79
656,Y,10,5,54
657,Y,26,5,31
658,Y,10,5,27
659,Y,33,5,37
660,Y,6,5,22
662,Y,51,5,75
663,Y,70,5,80
664,Y,31,5,36
665,Y,28,5,28
666,Y,39,5,51
667,Y,19,5,65
668,Y,41,5,51
669,Y,14,5,89
671,Y,60,5,81
672,Y,38,5,54
673,Y,5,5,19
674,Y,59,5,79
675,Y,32,5,50
676,Y,57,5,63
677,Y,0,1,408
679,Y,0,1,160
680,Y,400,6,0
681,Y,0,1,0
682,Y,0,1,0
683,Y,0,1,0
684,Y,0,1,0
685,Y,0,1,0
686,Y,0,1,0
697,Y,291,1,583
702,Y,0,1,0
713,Y,0,6,1
714,Y,0,6,0
715,Y,2,6,6
716,Y,23,6,52
717,Y,0,6,0
718,Y,0,6,4
719,Y,4,6,16
720,Y,0,6,0
721,Y,8,6,16
722,Y,7,6,10
724,Y,0,3,11
725,Y,0,6,14
726,Y,2,6,12
727,Y,7,6,28
728,Y,6,6,13
729,Y,11,6,19
730,Y,0,6,0
731,Y,0,6,8
732,Y,0,6,4
733,Y,0,6,14
734,Y,0,6,4
735,Y,5,6,14
736,Y,0,6,11
737,Y,4,6,5
738,Y,12,6,14
739,Y,26,6,26
740,Y,12,6,19
742,Y,25,6,82
743,Y,4,6,14
744,Y,7,6,15
746,Y,27,3,34
747,Y,50,3,58
748,Y,7,3,10
750,Y,0,1,37
751,N,0,1,0
752,N,0,1,0
753,N,0,1,0
754,Y,0,1,6
755,Y,0,3,6
757,N,0,1,0
758,N,0,1,0
759,N,0,1,0
760,N,0,1,0
761,Y,0,1,1
762,Y,22,1,34
763,Y,6,6,37
784,Y,0,5,2
785,Y,0,5,1
786,Y,0,5,1
787,Y,0,5,2
788,Y,0,5,2
789,Y,0,5,2
790,Y,0,5,3
791,Y,0,5,14
793,Y,25,3,35
794,Y,0,3,46
795,Y,11,3,16
796,Y,7,3,7
797,Y,0,3,60
799,Y,9,5,20
800,Y,7,5,28
801,Y,0,5,0
802,Y,11,5,11
803,Y,9,3,29
804,Y,10,5,9
805,Y,8,3,13
806,Y,10,5,7
807,Y,0,3,3
808,Y,7,5,19
809,Y,14,5,33
810,Y,22,5,25
811,Y,12,3,29
812,Y,9,3,9
813,Y,20,3,23
814,Y,15,3,19
815,Y,20,3,27
816,Y,0,1,0
819,Y,0,1,1
828,Y,62,3,62
829,Y,68,3,36
830,Y,41,3,64
831,Y,80,3,61
833,N,0,1,0
834,Y,0,1,9
835,N,0,6,0
836,Y,0,1,5
837,N,0,1,0
838,Y,0,1,1
839,N,0,1,0
840,N,0,1,0
841,N,0,1,0
842,Y,0,1,4
844,Y,55,1,0
1852,Y,74,6,42
1853,Y,199,6,24
