ItemID_DE;ItemNoDE;EAN;ParentNo;ItemNameDE;RemarkDE/EN;Sales_Price_EUR;Is_StockItem;StockQtyEU;MSQ_EU;is_dim_weight_estimated;weight(g);length(mm);width(mm);height(mm);is_active;Überverkäufe möglich;Stückzahl teilbar;Versandgewicht(kg);Length;Breite;Höhe;TARIC-Code
11401;6,23694E+12;6236943740190;V002-TMT;Zahnriemen 2GT-6-366;;2,76;Y;0;0;1;0;80;73;6;Y;Y;N;0;8;7,3;0,6;4010390090
11400;6,237E+12;6237004437844;V002-TMT;Zahnriemen 2GT-6-364;;2,65;Y;0;0;1;0;80;73;6;Y;Y;N;0;8;7,3;0,6;4010390090
11399;6,23834E+12;6238340719496;V002-TMT;Zahnriemen 2GT-15-360;;5,66;Y;0;0;1;10;80;73;15;Y;Y;N;0,01;8;7,3;1,5;4010390090
11398;6,23001E+12;6230007543253;V002-TMT;Zahnriemen 2GT-6-358;;2,96;Y;0;0;1;0;80;73;6;Y;Y;N;0;8;7,3;0,6;4010390090
11397;6,2338E+12;6233804215323;V002-TMT;Zahnriemen 2GT-6-356;;2,65;Y;0;0;1;0;80;73;6;Y;Y;N;0;8;7,3;0,6;4010390090
11396;6,23495E+12;6234950975604;V002-TMT;Zahnriemen 2GT-10-354;;3,86;Y;0;0;1;10;80;73;10;Y;Y;N;0,01;8;7,3;1;4010390090
11395;6,23227E+12;6232271935550;V002-TMT;Zahnriemen 2GT-6-354;;2,65;Y;0;0;1;0;80;73;6;Y;Y;N;0;8;7,3;0,6;4010390090
11394;6,2385E+12;6238504269003;V002-TMT;Zahnriemen 2GT-15-350;;5,66;Y;0;0;1;10;80;73;15;Y;Y;N;0,01;8;7,3;1,5;4010390090
11393;6,23354E+12;6233540676549;V002-TMT;Zahnriemen 2GT-6-344;;2,5;Y;0;0;1;0;80;73;6;Y;Y;N;0;8;7,3;0,6;4010390090
11392;6,23842E+12;6238420478305;V002-TMT;Zahnriemen 2GT-6-342;;2,65;Y;0;0;1;0;80;73;6;Y;Y;N;0;8;7,3;0,6;4010390090
11391;6,23532E+12;6235322119800;V002-TMT;Zahnriemen 2GT-10-340;;3,71;Y;0;0;1;10;80;73;10;Y;Y;N;0,01;8;7,3;1;4010390090
